User,Group,group_color
hanood.1,more_than_300k_m,#e6f598
ibrahimo.1,more_than_300k_m,#e6f598
mjomba.1,more_than_300k_m,#e6f598
m_3rimi,more_than_300k_m,#e6f598
alnoufali_7,more_than_300k_m,#e6f598
salahzadjali,more_than_300k_m,#e6f598
ramoos.2,more_than_300k_m,#e6f598
malizy.99,more_than_300k_m,#e6f598
muntherr_93,more_than_300k_m,#e6f598
hmaky128,more_than_300k_m,#e6f598
mohamed_almukhaini,more_than_200k_m,#3288bd
hazzamashen,more_than_200k_m,#3288bd
hala_al_balushi,more_than_200k_w,#99d594
marvatnaserofficial,more_than_200k_w,#99d594
najl.94,more_than_200k_w,#99d594
fadwasalam,more_than_200k_w,#99d594
thenaeema,more_than_200k_w,#99d594
tajn00r,more_than_200k_w,#99d594
hoori1992,more_than_200k_w,#99d594
wani_daily,more_than_200k_w,#99d594
amal.almaqbali,more_than_200k_w,#99d594
oman_events,news_accounts,#fee08b
oman.news,news_accounts,#fee08b
news.oman,news_accounts,#fee08b
insta__oman,news_accounts,#fee08b
be4_and_after_om,news_accounts,#fee08b
alialhabsi,others,#fc8d59
shihabalhabsi_,others,#fc8d59
